@lat,@lon,name,amenity,school,isced:level
54.4231493,18.5832425,Przedszkole nr 60 im. Jana Brzechwy,kindergarten,,
54.3902613,18.6034356,,kindergarten,,
54.3438223,18.6609528,"Przedszkole nr 46 ""Muszelka""",kindergarten,,
54.3955361,18.6453434,Norlandia Gdańsk Letnica,kindergarten,,
54.3929846,18.5936613,XV Liceum Ogólnokształcące im. Zjednoczonej Europy z Oddziałami Dwujęzycznymi,school,,3
54.3458948,18.6422727,Szkoła Podstawowa nr 21 im. kpt. ż. w. Karola Olgierda Borchardta,school,,
54.3911229,18.6127259,"Niepubliczna Szkoła Podstawowa ""Nasza Szkoła""",school,,
54.3616933,18.5879362,XX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,school,,3
54.4238966,18.5767676,"Przedszkole nr 64 ""Kubuś Puchatek""",kindergarten,,
54.3922003,18.6741928,Centrum Offshore Uniwersytetu Morskiego w Gdyni,university,,
54.3944324,18.5910744,Przedszkole nr 63,kindergarten,,
54.3950676,18.5956806,,school,,
54.3966749,18.5915635,Przedszkole nr 66,kindergarten,,
54.4032914,18.6284799,Przedszkole nr 67,kindergarten,,
54.4117385,18.5998586,British International School Gdańsk,kindergarten,,
54.3807031,18.6118868,Przedszkole nr 15 Niezapominajka,kindergarten,,
54.3789217,18.6070338,TEB Edukacja,college,,
54.3893082,18.5847915,Uniwersytet WSB Merito,university,,
54.3465212,18.5987646,,school,,
54.3506338,18.6725119,,kindergarten,,
54.3608064,18.7372845,Szkoła Podstawowa nr 62,school,,
54.4005218,18.6063856,Przedszkole nr 88,kindergarten,,
54.4280420,18.4802989,Pozytywny Żłobek nr 4,kindergarten,,
54.3299206,18.6297775,,school,,
54.3276756,18.6245265,Publiczne Pozytywne Przedszkole nr 15,kindergarten,,
54.3290829,18.6319501,Przedszkole nr 11,kindergarten,,
54.3551226,18.5159200,,kindergarten,,
54.3321284,18.5791803,"Przedszkole Niepubliczne ""Radosny Zakątek""",kindergarten,,
54.3769172,18.6244271,Pomorska Medyczna Szkoła Policealna,college,,
54.3970363,18.6234156,Niepubliczne Przedszkole Gedania 1922,kindergarten,,
54.3501744,18.6255602,Szkoła Podstawowa i Przedszkole Sokrates,school,,
54.3456056,18.5542103,"Niepubliczne Przedszkole ""Zielona Dolina""",kindergarten,,
54.3366353,18.6149395,"Niepubliczne Przedszkole ""Dobry Port""",kindergarten,,
54.4344651,18.4684826,Przedszkole nr 87,kindergarten,,
54.4237736,18.4745112,,kindergarten,,
54.3907504,18.5938380,Pozytywny Żłobek nr 5,kindergarten,,
54.3226979,18.6189817,"Przedszkole Niepubliczne ""Parkowe Wzgórze""",kindergarten,,
54.3413470,18.6449776,Pozytywne Przedszkole nr 8,kindergarten,,
54.3281197,18.6387801,Szkoła Podstawowa nr 16,school,,
54.3804220,18.6124308,III Społeczna Szkoła Podstawowa STO,school,,
54.4079852,18.6007169,Przedszkole nr 57,kindergarten,,
