external_id,source_portal,source_url,title,description,offer_type,price,area,rooms,floor,year_built,has_elevator,is_accessible,location,address,district_id,noise_db_min,noise_db_max
65623954,otodom,https://www.otodom.pl/pl/oferta/do-wynajecia-apartament-gdansk-centrum-srodmiescie-od-zaraz-ID4rlMS,Do wynajęcia apartament Gdańsk centrum śródmieście OD ZARAZ,,rent,3000,30,ONE,,,,,,pomorskie,,,
67972065,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-z-hala-garazowa-i-komorka-lokatorska-ID4BcDD,2 pokoje z halą garażową i komórką lokatorską,,rent,3500,37.7,TWO,,,,,,pomorskie,,,
67971974,otodom,https://www.otodom.pl/pl/oferta/sloneczne-2-pok-havlove-komorka-parking-chelm-ID4BcCa,"Słoneczne 2 - pok Havlove  komórka, parking Chełm",,rent,2600,35,TWO,,,,,,pomorskie,,,
67971908,otodom,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-z-tarasem-garnizon-ID4BcB6,3 pokojowy apartament z tarasem Garnizon,,rent,5500,80,THREE,,,,,,pomorskie,,,
67971844,otodom,https://www.otodom.pl/pl/oferta/3-pokoje-60-m-parking-oddzielna-kuchnia-brzezno-ID4BcA4,"3-pokoje,60 m²|Parking|Oddzielna kuchnia|Brzeźno",,rent,3800,60,THREE,,,,,,pomorskie,,,
67971774,otodom,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-balkonem-z-widokiem-na-jeziorko-ID4BcyV,Przestronne mieszkanie z balkonem z widokiem na jeziorko,,rent,2350,33,ONE,,,,,,pomorskie,,,
67971581,otodom,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-pieknym-widokiem-ID4BcwP,Przestronne mieszkanie z pięknym widokiem.,,rent,2600,67.25,THREE,,,,,,pomorskie,,,
67971387,otodom,https://www.otodom.pl/pl/oferta/wynajem-3-pokoje-gdansk-srodmiescie-ID4BcsH,Wynajem 3 pokoje Gdańsk Śródmieście,,rent,3700,52,THREE,,,,,,pomorskie,,,
67807162,otodom,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-z-balkonem-ID4AwJU,Nowoczesne 3-pokojowe mieszkanie z balkonem,,rent,3400,64.76,THREE,,,,,,pomorskie,,,
67971000,otodom,https://www.otodom.pl/pl/oferta/2-pokoje-z-miejscem-w-hali-garazowej-cisza-ID4Bcms,"2 pokoje z miejscem w hali garażowej, cisza,",,rent,2800,42.7,TWO,,,,,,pomorskie,,,
